seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,location_altitude,location_longitude,location_latitude,gyroscope_z,gyroscope_y,gyroscope_x
581,0.009384899,0.023645148,0.016364784,76.47412109,-9.07740005,53.2749293,0.009777122,-0.114337559,0.011718733
582,-0.045439365,4.61E-04,-0.157481582,76.16479492,-9.07745245,53.2749129,-0.02030682,0.028156829,-0.001224614
583,-0.288533137,0.070742722,0.015617305,75.71008301,-9.0775117,53.274901,0.047583321,-0.022170964,0.012600238
584,0.123843378,-0.073787708,-0.130346659,75.58410645,-9.0775617,53.2748896,0.006056688,0.036402551,0.001372361
585,0.030219102,0.035854755,-0.286849085,75.44140625,-9.0775962,53.27488095,0.009768417,0.035574123,0.004613241
586,0.166828016,-0.049649506,-0.085314471,75.15319824,-9.07765305,53.27486625,-0.02568284,-0.050946395,-6.78E-04
587,0.046413475,-0.08033193,0.133473297,74.85681152,-9.07770565,53.27484995,-0.028818378,0.041311782,-0.007173215
588,-0.054608214,0.012361202,0.098909341,75.42987061,-9.077748,53.2748368,0.018693374,-0.044501549,0.010850543
589,0.005752344,0.017350744,0.044806649,75.33288574,-9.0777788,53.27482705,-0.064343865,-0.057583696,-0.001862718
590,-0.198928504,0.081654215,-0.268694692,75.14556885,-9.0778347,53.2748092,0.054760535,-0.001209238,0.008616153
591,0.044609138,-0.081334076,-0.23899541,75.67706299,-9.0778788,53.2747963,0.021802734,0.092710746,0.001275063
592,0.158615355,0.035020461,-0.049230687,74.9241333,-9.077926,53.274784,-0.043233059,-0.093620854,0.006144742
593,-0.12458003,0.05099289,-0.205586786,75.43792725,-9.0779731,53.274771,0.082543847,0.050957163,0.010385176
594,0.155055509,-0.046172605,-0.089663094,76.0378418,-9.0780246,53.2747538,-0.011600057,0.058565357,0.00261073
595,0.045136064,0.012728791,0.104988594,75.99221802,-9.07805205,53.2747424,-0.076834132,-0.10869433,-0.003570462
596,0.187957989,-0.084092589,0.037181881,75.84617106,-9.078100167,53.27472357,-0.044520471,0.077942077,-0.005551588
597,-0.188059167,0.045923643,-0.11970856,75.2668457,-9.0781407,53.2747083,0.073458571,-0.075372894,0.045799176
598,0.055568653,-0.039807069,-0.356215745,75.67700195,-9.0781827,53.2746956,-0.00263505,0.014809393,0.007988332
599,0.058009617,-0.016214943,-0.065863282,75.48236084,-9.07822065,53.2746811,-0.028867979,0.032269326,0.008509625
600,-0.036847876,0.024336244,-0.097125699,74.94482422,-9.0782756,53.2746624,0.081043509,0.030171336,0.014759612
601,0.179050151,-0.06172574,0.181999986,75.00363159,-9.07831045,53.27465085,-0.042314267,-0.022519837,0.011345891
602,0.053833042,-0.017644901,-0.057464042,75.15078735,-9.078349,53.27464015,-1.70E-04,-0.062551411,0.0039725
603,-0.077968743,-0.01288044,-0.229913612,74.6920166,-9.0784061,53.2746225,0.030323392,0.069114132,-0.011717065
604,-0.180227941,0.066050119,-0.375065662,74.94165039,-9.07844735,53.2746072,0.110164886,0.100475488,0.040408942
605,-0.350780205,0.120547738,0.166760888,74.98291016,-9.0784878,53.2745947,-0.212122804,-0.208975044,0.007339683
606,0.03099005,-0.070978246,-0.345838799,74.81005859,-9.078525533,53.27458263,0.115326091,0.140532059,0.020206219
607,0.334019237,-0.058404191,-0.130356483,74.72363281,-9.0785744,53.2745654,-0.065361667,-0.025050975,-0.010988651
608,0.044408433,0.053555388,0.295739801,75.20739746,-9.07863405,53.27454865,-0.018782593,-0.069391429,0.015559007
